mention_id,document,footnote_ordinal,note_id,unit_ordinal,text,mention_type,explicit_payload,explicit_locator,effective_locator,relation_type,relation_surface,antecedent_mention_id,explicit_author,inherited_author,inherited_work_id,resolved_work_id,candidate_work_ids,resolution,resolution_method,confidence,abbreviation,abbreviation_expansion,source_family,warnings
mention-0001,ВВЕДЕНИЕ_ВЕРСИЯ_3.docx,1,1,1,"Берман Г.Дж. Западная традиция права: эпоха формирования / пер. с англ. Н.Р. Никоновой, Н. Н. Деева. 2-е изд. М.: Изд-во МГУ; Издательская группа ИНФРА-М—НОРМА, 1998. С. 26.",full_reference,"Берман Г.Дж. Западная традиция права: эпоха формирования / пер. с англ. Н.Р. Никоновой, Н. Н. Деева. 2-е изд. М.: Изд-во МГУ; Издательская группа ИНФРА-М—НОРМА, 1998. С. 26.",С. 26,С. 26,,,,,,,korneeva-research-021,korneeva-research-021,resolved_explicit,token_overlap,1.0,,,,
mention-0002,ВВЕДЕНИЕ_ВЕРСИЯ_3.docx,2,2,1,В историографии понятие правовой культуры первоначально оформилось в рамках социологии права и связывалось с ценностными ориентациями общества по отношению к правовой системе:,commentary,В историографии понятие правовой культуры первоначально оформилось в рамках социологии права и связывалось с ценностными ориентациями общества по отношению к правовой системе:,,,,,,,,,,,not_bibliographic,commentary_or_internal_cross_reference,,,,,
mention-0003,ВВЕДЕНИЕ_ВЕРСИЯ_3.docx,2,2,2,"Friedman L.M. Legal Culture and Social Development // Law & Society Review. 1969. Vol. 4, № 1. P. 29–44",full_reference,"Friedman L.M. Legal Culture and Social Development // Law & Society Review. 1969. Vol. 4, № 1. P. 29–44","Vol. 4, № 1; P. 29–44","Vol. 4, № 1; P. 29–44",,,,,,,korneeva-footnote-001,korneeva-footnote-001,new_footnote_only_record,new_footnote_only_record,0.9,,,,
mention-0004,ВВЕДЕНИЕ_ВЕРСИЯ_3.docx,2,2,3,"Idem. The Legal System: A Social Science Perspective. New York: Russell Sage Foundation, 1975. В сравнительно-правовых исследованиях близкая проблематика развивалась через понятие правовой традиции, позволявшее рассматривать право не только как систему норм, но и как совокупность устойчивых представлений о природе права, его роли, способах применения, изучения и передачи:",full_reference,"The Legal System: A Social Science Perspective. New York: Russell Sage Foundation, 1975. В сравнительно-правовых исследованиях близкая проблематика развивалась через понятие правовой традиции, позволявшее рассматривать право не только как систему норм, но и как совокупность устойчивых представлений о природе права, его роли, способах применения, изучения и передачи:",,,same_author,Idem.,mention-0003,,"Friedman, L",,korneeva-footnote-002,korneeva-footnote-002,new_footnote_only_record,new_footnote_only_record,0.9,,,,
mention-0005,ВВЕДЕНИЕ_ВЕРСИЯ_3.docx,2,2,4,"Merryman J.H. The Civil Law Tradition: An Introduction to the Legal Systems of Western Europe and Latin America. Stanford: Stanford University Press, 1969. Для анализа сосуществования различных нормативных порядков и взаимодействия официального права, обычая и социальных практик принципиальное значение получили исследования правового плюрализма:",full_reference,"Merryman J.H. The Civil Law Tradition: An Introduction to the Legal Systems of Western Europe and Latin America. Stanford: Stanford University Press, 1969. Для анализа сосуществования различных нормативных порядков и взаимодействия официального права, обычая и социальных практик принципиальное значение получили исследования правового плюрализма:",,,,,,,,,korneeva-footnote-003,korneeva-footnote-003,new_footnote_only_record,new_footnote_only_record,0.9,,,,
mention-0006,ВВЕДЕНИЕ_ВЕРСИЯ_3.docx,2,2,5,"Merry S. E. Legal Pluralism // Law & Society Review. 1988. Vol. 22, № 5. P. 869–896. В более поздней литературе понятие правовой культуры стало использоваться осторожнее: исследователи подчёркивали необходимость учитывать его связь с социальными практиками, правовым воображением, профессиональным знанием и формами правовой коммуникации:",full_reference,"Merry S. E. Legal Pluralism // Law & Society Review. 1988. Vol. 22, № 5. P. 869–896. В более поздней литературе понятие правовой культуры стало использоваться осторожнее: исследователи подчёркивали необходимость учитывать его связь с социальными практиками, правовым воображением, профессиональным знанием и формами правовой коммуникации:","Vol. 22, № 5; P. 869–896","Vol. 22, № 5; P. 869–896",,,,,,,korneeva-footnote-004,korneeva-footnote-004,new_footnote_only_record,new_footnote_only_record,0.9,,,,
mention-0007,ВВЕДЕНИЕ_ВЕРСИЯ_3.docx,2,2,6,Nelken D. Using the Concept of Legal Culture // Australian Journal of Legal Philosophy. 2004. Vol. 29. P. 1–26,full_reference,Nelken D. Using the Concept of Legal Culture // Australian Journal of Legal Philosophy. 2004. Vol. 29. P. 1–26,Vol. 29; P. 1–26,Vol. 29; P. 1–26,,,,,,,korneeva-footnote-005,korneeva-footnote-005,new_footnote_only_record,new_footnote_only_record,0.9,,,,
mention-0008,ВВЕДЕНИЕ_ВЕРСИЯ_3.docx,2,2,7,"Cotterrell R. Law, Culture and Society: Legal Ideas in the Mirror of Social Theory. Aldershot: Ashgate, 2006. В медиевистике близкая исследовательская перспектива позволила рассматривать право как часть интеллектуальной, текстовой и социальной жизни средневекового общества, где обычай, авторитет, память, письменная форма и судебная практика не отделены друг от друга:",full_reference,"Cotterrell R. Law, Culture and Society: Legal Ideas in the Mirror of Social Theory. Aldershot: Ashgate, 2006. В медиевистике близкая исследовательская перспектива позволила рассматривать право как часть интеллектуальной, текстовой и социальной жизни средневекового общества, где обычай, авторитет, память, письменная форма и судебная практика не отделены друг от друга:",,,,,,,,,korneeva-footnote-006,korneeva-footnote-006,new_footnote_only_record,new_footnote_only_record,0.9,,,,
mention-0009,ВВЕДЕНИЕ_ВЕРСИЯ_3.docx,2,2,8,"Берман Г.Дж. Западная традиция права: эпоха формирования / пер. с англ. Н.Р. Никоновой, Н. Н. Деева. 2-е изд. М.: Изд-во МГУ; Издательская группа ИНФРА-М—НОРМА, 1998",full_reference,"Берман Г.Дж. Западная традиция права: эпоха формирования / пер. с англ. Н.Р. Никоновой, Н. Н. Деева. 2-е изд. М.: Изд-во МГУ; Издательская группа ИНФРА-М—НОРМА, 1998",,,,,,,,,korneeva-research-021,korneeva-research-021,resolved_explicit,token_overlap,1.0,,,,
mention-0010,ВВЕДЕНИЕ_ВЕРСИЯ_3.docx,2,2,9,"Grossi P. L’ordine giuridico medievale. Roma; Bari: Laterza, 1995",full_reference,"Grossi P. L’ordine giuridico medievale. Roma; Bari: Laterza, 1995",,,,,,,,,korneeva-footnote-007,korneeva-footnote-007,new_footnote_only_record,new_footnote_only_record,0.9,,,,
