mention_id,document,footnote_ordinal,note_id,unit_ordinal,text,kind,locator,matched_key,match_score,match_method,resolution,abbreviation,abbreviation_expansion
mention-0001,ВВЕДЕНИЕ_ВЕРСИЯ_3.docx,1,1,1,"Берман Г.Дж. Западная традиция права: эпоха формирования / пер. с англ. Н.Р. Никоновой, Н. Н. Деева. 2-е изд. М.: Изд-во МГУ; Издательская группа ИНФРА-М—НОРМА, 1998. С. 26.",full_reference,С. 26,korneeva-research-021,1.0,token_overlap,matched,,
mention-0002,ВВЕДЕНИЕ_ВЕРСИЯ_3.docx,2,2,1,В историографии понятие правовой культуры первоначально оформилось в рамках социологии права и связывалось с ценностными ориентациями общества по отношению к правовой системе:,commentary,,,,,not_bibliographic,,
mention-0003,ВВЕДЕНИЕ_ВЕРСИЯ_3.docx,2,2,2,"Friedman L.M. Legal Culture and Social Development // Law & Society Review. 1969. Vol. 4, № 1. P. 29–44",full_reference,"Vol. 4, № 1; P. 29–44",,0.294,below_threshold,unresolved,,
mention-0004,ВВЕДЕНИЕ_ВЕРСИЯ_3.docx,2,2,3,"Idem. The Legal System: A Social Science Perspective. New York: Russell Sage Foundation, 1975. В сравнительно-правовых исследованиях близкая проблематика развивалась через понятие правовой традиции, позволявшее рассматривать право не только как систему норм, но и как совокупность устойчивых представлений о природе права, его роли, способах применения, изучения и передачи:",full_reference,,,0.097,below_threshold,unresolved,,
mention-0005,ВВЕДЕНИЕ_ВЕРСИЯ_3.docx,2,2,4,"Merryman J.H. The Civil Law Tradition: An Introduction to the Legal Systems of Western Europe and Latin America. Stanford: Stanford University Press, 1969. Для анализа сосуществования различных нормативных порядков и взаимодействия официального права, обычая и социальных практик принципиальное значение получили исследования правового плюрализма:",full_reference,,,0.151,below_threshold,unresolved,,
mention-0006,ВВЕДЕНИЕ_ВЕРСИЯ_3.docx,2,2,5,"Merry S. E. Legal Pluralism // Law & Society Review. 1988. Vol. 22, № 5. P. 869–896. В более поздней литературе понятие правовой культуры стало использоваться осторожнее: исследователи подчёркивали необходимость учитывать его связь с социальными практиками, правовым воображением, профессиональным знанием и формами правовой коммуникации:",full_reference,"Vol. 22, № 5; P. 869–896",,0.131,below_threshold,unresolved,,
mention-0007,ВВЕДЕНИЕ_ВЕРСИЯ_3.docx,2,2,6,Nelken D. Using the Concept of Legal Culture // Australian Journal of Legal Philosophy. 2004. Vol. 29. P. 1–26,full_reference,Vol. 29; P. 1–26,,0.203,below_threshold,unresolved,,
mention-0008,ВВЕДЕНИЕ_ВЕРСИЯ_3.docx,2,2,7,"Cotterrell R. Law, Culture and Society: Legal Ideas in the Mirror of Social Theory. Aldershot: Ashgate, 2006. В медиевистике близкая исследовательская перспектива позволила рассматривать право как часть интеллектуальной, текстовой и социальной жизни средневекового общества, где обычай, авторитет, память, письменная форма и судебная практика не отделены друг от друга:",full_reference,,,0.117,below_threshold,unresolved,,
mention-0009,ВВЕДЕНИЕ_ВЕРСИЯ_3.docx,2,2,8,"Берман Г.Дж. Западная традиция права: эпоха формирования / пер. с англ. Н.Р. Никоновой, Н. Н. Деева. 2-е изд. М.: Изд-во МГУ; Издательская группа ИНФРА-М—НОРМА, 1998",full_reference,,korneeva-research-021,1.0,token_overlap,matched,,
mention-0010,ВВЕДЕНИЕ_ВЕРСИЯ_3.docx,2,2,9,"Grossi P. L’ordine giuridico medievale. Roma; Bari: Laterza, 1995",full_reference,,,0.096,below_threshold,unresolved,,
